category,surprise_source,count,percentage
historical_events,aspiration_physics,1,8.333333333333332
historical_events,consequence_inversion,1,8.333333333333332
historical_events,human_nature_insight,1,8.333333333333332
historical_events,modern_framework_application,1,8.333333333333332
historical_events,paradox_creation,1,8.333333333333332
historical_events,philosophical_generalization,1,8.333333333333332
historical_events,psychological_abstraction,1,8.333333333333332
historical_events,recursive_causation,1,8.333333333333332
historical_events,recursive_self_reference,1,8.333333333333332
historical_events,scale_inversion,1,8.333333333333332
historical_events,technological_philosophy,1,8.333333333333332
historical_events,temporal_abstraction,1,8.333333333333332
visual_descriptions,anthropomorphic_abstraction,1,7.6923076923076925
visual_descriptions,cosmic_temporality,1,7.6923076923076925
visual_descriptions,emotional_meteorology,1,7.6923076923076925
visual_descriptions,existential_architecture,1,7.6923076923076925
visual_descriptions,geological_memory,1,7.6923076923076925
visual_descriptions,intellectual_metaphor,1,7.6923076923076925
visual_descriptions,mortality_aesthetics,1,7.6923076923076925
visual_descriptions,motion_philosophy,1,7.6923076923076925
visual_descriptions,philosophical_personification,1,7.6923076923076925
visual_descriptions,political_botany,1,7.6923076923076925
visual_descriptions,temporal_physics,1,7.6923076923076925
visual_descriptions,unexpected_metaphorical_mapping,1,7.6923076923076925
visual_descriptions,urban_metaphysics,1,7.6923076923076925
